train test method run dataset classifier noPoints
0.992063492063492 0.961538461538462 peakDegree 5 wine knn 6
0.952380952380952 1 peakDegree 18 wine knn 9
0.976190476190476 0.923076923076923 peakDegree 2 wine knn 5
0.976190476190476 0.923076923076923 peakDegree 3 wine knn 6
0.976190476190476 0.961538461538462 peakDegree 12 wine knn 5
0.976190476190476 1 peakDegree 14 wine knn 10
0.976190476190476 0.961538461538462 peakDegree 19 wine knn 8
0.976190476190476 0.961538461538462 peakDegree 17 wine knn 6
0.984126984126984 0.961538461538462 peakDegree 27 wine knn 7
0.992063492063492 0.961538461538462 peakDegree 13 wine knn 10
0.968253968253968 0.980769230769231 peakDegree 29 wine knn 7
0.968253968253968 0.980769230769231 peakDegree 16 wine knn 6
0.976190476190476 0.961538461538462 peakDegree 6 wine knn 9
0.976190476190476 0.980769230769231 peakDegree 20 wine knn 6
0.984126984126984 0.923076923076923 peakDegree 11 wine knn 6
0.992063492063492 0.961538461538462 peakDegree 5 wine svmRadial 6
0.96031746031746 1 peakDegree 22 wine knn 8
0.984126984126984 0.942307692307692 peakDegree 8 wine knn 6
0.976190476190476 0.961538461538462 peakDegree 7 wine knn 11
0.984126984126984 0.942307692307692 peakDegree 2 wine svmRadial 5
0.984126984126984 0.961538461538462 peakDegree 30 wine knn 4
0.96031746031746 1 peakDegree 18 wine svmRadial 9
0.976190476190476 0.980769230769231 peakDegree 9 wine knn 6
0.984126984126984 0.961538461538462 peakDegree 3 wine svmRadial 6
0.992063492063492 0.923076923076923 peakDegree 24 wine knn 10
0.976190476190476 0.980769230769231 peakDegree 23 wine knn 6
0.976190476190476 0.980769230769231 peakDegree 21 wine knn 7
0.984126984126984 0.980769230769231 peakDegree 10 wine knn 6
0.992063492063492 0.923076923076923 peakDegree 26 wine knn 7
0.976190476190476 1 peakDegree 1 wine knn 6
0.976190476190476 0.980769230769231 peakDegree 25 wine knn 8
0.984126984126984 0.942307692307692 peakDegree 15 wine knn 7
0.992063492063492 0.961538461538462 peakDegree 12 wine svmRadial 5
0.976190476190476 0.980769230769231 peakDegree 28 wine knn 9
