train test method run dataset classifier noPoints
0.952380952380952 1 knn 9 wine knn -
0.968253968253968 0.942307692307692 knn 29 wine knn -
0.968253968253968 0.942307692307692 knn 13 wine knn -
0.976190476190476 0.961538461538462 knn 17 wine knn -
0.976190476190476 0.980769230769231 knn 16 wine knn -
0.968253968253968 1 knn 18 wine knn -
0.96031746031746 0.980769230769231 knn 21 wine knn -
0.96031746031746 0.980769230769231 knn 8 wine knn -
0.968253968253968 0.980769230769231 knn 27 wine knn -
0.968253968253968 0.961538461538462 knn 22 wine knn -
0.976190476190476 0.980769230769231 knn 7 wine knn -
0.976190476190476 0.923076923076923 knn 11 wine knn -
0.96031746031746 1 knn 6 wine knn -
0.976190476190476 0.961538461538462 knn 1 wine knn -
0.944444444444444 0.961538461538462 knn 20 wine knn -
0.992063492063492 0.942307692307692 knn 25 wine knn -
0.952380952380952 0.980769230769231 knn 5 wine knn -
0.984126984126984 0.961538461538462 knn 23 wine knn -
0.96031746031746 0.980769230769231 knn 26 wine knn -
0.96031746031746 0.980769230769231 knn 24 wine knn -
0.992063492063492 0.942307692307692 knn 2 wine knn -
0.976190476190476 0.942307692307692 knn 3 wine knn -
0.944444444444444 0.961538461538462 knn 4 wine knn -
0.968253968253968 0.961538461538462 knn 19 wine knn -
0.976190476190476 0.942307692307692 knn 28 wine knn -
0.976190476190476 0.942307692307692 knn 12 wine knn -
0.984126984126984 0.961538461538462 knn 10 wine knn -
0.976190476190476 0.942307692307692 knn 30 wine knn -
0.968253968253968 0.942307692307692 knn 15 wine knn -
0.968253968253968 0.961538461538462 knn 14 wine knn -
0.966597077244259 0.990196078431373 knn 9 breast-cancer-wisconsin knn -
0.97286012526096 0.970588235294118 knn 29 breast-cancer-wisconsin knn -
0.974947807933194 0.96078431372549 knn 13 breast-cancer-wisconsin knn -
0.974947807933194 0.950980392156863 knn 17 breast-cancer-wisconsin knn -
0.968684759916493 0.985294117647059 knn 16 breast-cancer-wisconsin knn -
0.974947807933194 0.965686274509804 knn 21 breast-cancer-wisconsin knn -
0.974947807933194 0.96078431372549 knn 8 breast-cancer-wisconsin knn -
0.968684759916493 0.975490196078431 knn 18 breast-cancer-wisconsin knn -
0.970772442588727 0.975490196078431 knn 27 breast-cancer-wisconsin knn -
0.974947807933194 0.980392156862745 knn 22 breast-cancer-wisconsin knn -
0.974947807933194 0.975490196078431 knn 7 breast-cancer-wisconsin knn -
0.981210855949896 0.941176470588235 knn 1 breast-cancer-wisconsin knn -
0.968684759916493 0.965686274509804 knn 25 breast-cancer-wisconsin knn -
0.970772442588727 0.975490196078431 knn 6 breast-cancer-wisconsin knn -
0.962421711899791 0.980392156862745 knn 11 breast-cancer-wisconsin knn -
0.97286012526096 0.975490196078431 knn 20 breast-cancer-wisconsin knn -
0.974947807933194 0.975490196078431 knn 26 breast-cancer-wisconsin knn -
0.968684759916493 0.975490196078431 knn 23 breast-cancer-wisconsin knn -
0.977035490605428 0.965686274509804 knn 5 breast-cancer-wisconsin knn -
0.977035490605428 0.96078431372549 knn 19 breast-cancer-wisconsin knn -
0.977035490605428 0.965686274509804 knn 4 breast-cancer-wisconsin knn -
0.970772442588727 0.970588235294118 knn 12 breast-cancer-wisconsin knn -
0.981210855949896 0.96078431372549 knn 24 breast-cancer-wisconsin knn -
0.979123173277662 0.950980392156863 knn 3 breast-cancer-wisconsin knn -
0.974947807933194 0.96078431372549 knn 2 breast-cancer-wisconsin knn -
0.97286012526096 0.965686274509804 knn 28 breast-cancer-wisconsin knn -
0.97286012526096 0.975490196078431 knn 10 breast-cancer-wisconsin knn -
0.97286012526096 0.965686274509804 knn 30 breast-cancer-wisconsin knn -
0.970772442588727 0.965686274509804 knn 15 breast-cancer-wisconsin knn -
0.970772442588727 0.970588235294118 knn 14 breast-cancer-wisconsin knn -
0.61744966442953 0.591836734693878 knn 9 yeast knn -
0.641418983700863 0.578231292517007 knn 29 yeast knn -
