train test method run dataset classifier noPoints
0.992063492063492 0.961538461538462 peakDegree 1 wine svmLinear 7
0.928571428571429 0.980769230769231 topDegree 1 wine svmLinear 7
0.968684759916493 0.970588235294118 peakDegree 1 breast-cancer-wisconsin svmLinear 9
0.966597077244259 0.96078431372549 topDegree 1 breast-cancer-wisconsin svmLinear 9
0.437200383509108 0.369614512471655 peakDegree 1 yeast svmLinear 4
0.353787152444871 0.346938775510204 topDegree 1 yeast svmLinear 4
0.77124183006536 0.590163934426229 peakDegree 1 glass svmLinear 14
0.627450980392157 0.573770491803279 topDegree 1 glass svmLinear 14
0.882845188284519 0.835051546391753 peakDegree 1 ecoli svmLinear 12
0.794979079497908 0.783505154639175 topDegree 1 ecoli svmLinear 12
0.946608946608947 0.895622895622896 peakDegree 1 vowel-context svmLinear 49
0.835497835497836 0.764309764309764 topDegree 1 vowel-context svmLinear 49
0.952380952380952 0.977777777777778 peakDegree 1 iris svmLinear 6
0.895238095238095 0.888888888888889 topDegree 1 iris svmLinear 6
0.788104089219331 0.747826086956522 peakDegree 1 pima-indians-diabetes svmLinear 18
0.75092936802974 0.782608695652174 topDegree 1 pima-indians-diabetes svmLinear 18
0.76027397260274 0.67741935483871 peakDegree 1 sonar.all svmLinear 4
0.650684931506849 0.483870967741935 topDegree 1 sonar.all svmLinear 4
0.930117501546073 0.923520923520924 peakDegree 1 image-segmentation svmLinear 40
0.83982683982684 0.865800865800866 topDegree 1 image-segmentation svmLinear 40
0.813765182186235 0.778846153846154 peakDegree 1 ionosphere svmLinear 6
0.736842105263158 0.653846153846154 topDegree 1 ionosphere svmLinear 6
0.779187817258883 0.642335766423358 peakDegree 1 spectrometer svmLinear 52
0.728426395939086 0.635036496350365 topDegree 1 spectrometer svmLinear 52
0.767676767676768 0.722222222222222 peakDegree 1 statlog-vehicle svmLinear 30
0.609427609427609 0.591269841269841 topDegree 1 statlog-vehicle svmLinear 30
0.654139156932453 0.662901307966706 peakDegree 1 optdigits svmLinear 6
0.701117318435754 0.708680142687277 topDegree 1 optdigits svmLinear 6
0.904835847382431 0.904514789828749 peakDegree 1 statlog-satimage svmLinear 96
0.854259094942325 0.86870783601453 topDegree 1 statlog-satimage svmLinear 96
0.997792207792208 0.990279465370595 peakDegree 1 pendigits svmLinear 239
0.966363636363636 0.958080194410693 topDegree 1 pendigits svmLinear 239
0.992063492063492 0.980769230769231 peakDegree 2 wine svmLinear 11
0.992063492063492 0.942307692307692 topDegree 2 wine svmLinear 11
0.974947807933194 0.96078431372549 peakDegree 2 breast-cancer-wisconsin svmLinear 8
0.966597077244259 0.96078431372549 topDegree 2 breast-cancer-wisconsin svmLinear 8
0.426653883029722 0.408163265306122 peakDegree 2 yeast svmLinear 4
0.378715244487057 0.337868480725624 topDegree 2 yeast svmLinear 4
0.77124183006536 0.737704918032787 peakDegree 2 glass svmLinear 16
0.633986928104575 0.672131147540984 topDegree 2 glass svmLinear 16
0.891213389121339 0.855670103092783 peakDegree 2 ecoli svmLinear 9
0.786610878661088 0.783505154639175 topDegree 2 ecoli svmLinear 9
0.940836940836941 0.895622895622896 peakDegree 2 vowel-context svmLinear 46
0.813852813852814 0.804713804713805 topDegree 2 vowel-context svmLinear 46
0.980952380952381 0.866666666666667 peakDegree 2 iris svmLinear 6
0.914285714285714 0.844444444444444 topDegree 2 iris svmLinear 6
0.78996282527881 0.752173913043478 peakDegree 2 pima-indians-diabetes svmLinear 22
0.784386617100372 0.756521739130435 topDegree 2 pima-indians-diabetes svmLinear 22
0.732876712328767 0.790322580645161 peakDegree 2 sonar.all svmLinear 3
0.664383561643836 0.629032258064516 topDegree 2 sonar.all svmLinear 3
0.927643784786642 0.906204906204906 peakDegree 2 image-segmentation svmLinear 31
0.834879406307978 0.826839826839827 topDegree 2 image-segmentation svmLinear 31
0.939271255060729 0.942307692307692 peakDegree 2 ionosphere svmLinear 12
0.708502024291498 0.740384615384615 topDegree 2 ionosphere svmLinear 12
0.756345177664975 0.605839416058394 peakDegree 2 spectrometer svmLinear 48
0.692893401015228 0.54014598540146 topDegree 2 spectrometer svmLinear 48
0.779461279461279 0.75 peakDegree 2 statlog-vehicle svmLinear 30
0.626262626262626 0.599206349206349 topDegree 2 statlog-vehicle svmLinear 30
0.682072117826308 0.661712247324614 peakDegree 2 optdigits svmLinear 6
0.705180294565769 0.686087990487515 topDegree 2 optdigits svmLinear 6
0.903283052351375 0.89724961079398 peakDegree 2 statlog-satimage svmLinear 86
0.854259094942325 0.861961598339388 topDegree 2 statlog-satimage svmLinear 86
0.997142857142857 0.988153098420413 peakDegree 2 pendigits svmLinear 234
0.965584415584416 0.962029161603888 topDegree 2 pendigits svmLinear 234
0.992063492063492 0.980769230769231 peakDegree 3 wine svmLinear 7
0.920634920634921 0.942307692307692 topDegree 3 wine svmLinear 7
0.970772442588727 0.970588235294118 peakDegree 3 breast-cancer-wisconsin svmLinear 6
0.964509394572025 0.970588235294118 topDegree 3 breast-cancer-wisconsin svmLinear 6
0.458293384467881 0.494331065759637 peakDegree 3 yeast svmLinear 5
0.51006711409396 0.54875283446712 topDegree 3 yeast svmLinear 5
0.758169934640523 0.737704918032787 peakDegree 3 glass svmLinear 15
0.640522875816993 0.639344262295082 topDegree 3 glass svmLinear 15
0.861924686192469 0.865979381443299 peakDegree 3 ecoli svmLinear 7
0.719665271966527 0.731958762886598 topDegree 3 ecoli svmLinear 7
0.955266955266955 0.919191919191919 peakDegree 3 vowel-context svmLinear 54
0.821067821067821 0.784511784511784 topDegree 3 vowel-context svmLinear 54
0.980952380952381 0.955555555555556 peakDegree 3 iris svmLinear 6
0.885714285714286 0.933333333333333 topDegree 3 iris svmLinear 6
0.769516728624535 0.8 peakDegree 3 pima-indians-diabetes svmLinear 19
0.773234200743494 0.773913043478261 topDegree 3 pima-indians-diabetes svmLinear 19
0.767123287671233 0.806451612903226 peakDegree 3 sonar.all svmLinear 5
0.60958904109589 0.596774193548387 topDegree 3 sonar.all svmLinear 5
0.908472479901051 0.904761904761905 peakDegree 3 image-segmentation svmLinear 22
0.815708101422387 0.81962481962482 topDegree 3 image-segmentation svmLinear 22
0.91497975708502 0.884615384615385 peakDegree 3 ionosphere svmLinear 9
0.716599190283401 0.711538461538462 topDegree 3 ionosphere svmLinear 9
