train test method run dataset classifier noPoints
0.984126984126984 0.961538461538462 random 1 wine svmLinear 6
0.977035490605428 0.970588235294118 random 1 breast-cancer-wisconsin svmLinear 7
0.564717162032598 0.578231292517007 random 1 yeast svmLinear 7
0.758169934640523 0.672131147540984 random 1 glass svmLinear 13
0.882845188284519 0.876288659793814 random 1 ecoli svmLinear 15
0.940836940836941 0.919191919191919 random 1 vowel-context svmLinear 44
0.980952380952381 0.977777777777778 random 1 iris svmLinear 9
0.778810408921933 0.765217391304348 random 1 pima-indians-diabetes svmLinear 19
0.767123287671233 0.725806451612903 random 1 sonar.all svmLinear 6
0.934446505875077 0.939393939393939 random 1 image-segmentation svmLinear 32
0.902834008097166 0.817307692307692 random 1 ionosphere svmLinear 6
0.692893401015228 0.583941605839416 random 1 spectrometer svmLinear 38
0.749158249158249 0.698412698412698 random 1 statlog-vehicle svmLinear 25
0.870238699847638 0.854934601664685 random 1 optdigits svmLinear 10
0.968253968253968 0.923076923076923 random 2 wine svmLinear 7
0.966597077244259 0.990196078431373 random 2 breast-cancer-wisconsin svmLinear 8
0.540747842761266 0.471655328798186 random 2 yeast svmLinear 6
0.73202614379085 0.590163934426229 random 2 glass svmLinear 14
0.891213389121339 0.835051546391753 random 2 ecoli svmLinear 12
0.943722943722944 0.915824915824916 random 2 vowel-context svmLinear 50
0.952380952380952 0.822222222222222 random 2 iris svmLinear 5
0.763940520446097 0.782608695652174 random 2 pima-indians-diabetes svmLinear 17
0.684931506849315 0.661290322580645 random 2 sonar.all svmLinear 5
0.936920222634508 0.911976911976912 random 2 image-segmentation svmLinear 34
0.898785425101215 0.913461538461538 random 2 ionosphere svmLinear 9
0.741116751269036 0.62043795620438 random 2 spectrometer svmLinear 52
0.794612794612795 0.753968253968254 random 2 statlog-vehicle svmLinear 39
0.862112747587608 0.833531510107015 random 2 optdigits svmLinear 8
0.992063492063492 0.980769230769231 random 3 wine svmLinear 8
0.97286012526096 0.970588235294118 random 3 breast-cancer-wisconsin svmLinear 11
0.581016299137105 0.566893424036281 random 3 yeast svmLinear 6
0.725490196078431 0.704918032786885 random 3 glass svmLinear 15
0.895397489539749 0.814432989690722 random 3 ecoli svmLinear 10
0.958152958152958 0.905723905723906 random 3 vowel-context svmLinear 58
0.933333333333333 0.955555555555556 random 3 iris svmLinear 8
0.763940520446097 0.78695652173913 random 3 pima-indians-diabetes svmLinear 20
0.753424657534247 0.596774193548387 random 3 sonar.all svmLinear 4
0.931354359925789 0.922077922077922 random 3 image-segmentation svmLinear 32
0.91497975708502 0.932692307692308 random 3 ionosphere svmLinear 7
0.748730964467005 0.605839416058394 random 3 spectrometer svmLinear 49
0.767676767676768 0.694444444444444 random 3 statlog-vehicle svmLinear 26
0.850431691213814 0.842449464922711 random 3 optdigits svmLinear 8
0.984126984126984 0.961538461538462 random 4 wine svmLinear 11
0.974947807933194 0.965686274509804 random 4 breast-cancer-wisconsin svmLinear 12
0.497603068072867 0.464852607709751 random 4 yeast svmLinear 5
0.758169934640523 0.60655737704918 random 4 glass svmLinear 14
0.836820083682008 0.876288659793814 random 4 ecoli svmLinear 8
0.950937950937951 0.912457912457912 random 4 vowel-context svmLinear 54
0.952380952380952 0.911111111111111 random 4 iris svmLinear 7
0.799256505576208 0.760869565217391 random 4 pima-indians-diabetes svmLinear 21
0.780821917808219 0.741935483870968 random 4 sonar.all svmLinear 5
0.927025355596784 0.919191919191919 random 4 image-segmentation svmLinear 26
0.878542510121457 0.942307692307692 random 4 ionosphere svmLinear 9
0.730964467005076 0.554744525547445 random 4 spectrometer svmLinear 51
0.760942760942761 0.694444444444444 random 4 statlog-vehicle svmLinear 31
0.804469273743017 0.791319857312723 random 4 optdigits svmLinear 7
0.992063492063492 0.942307692307692 random 5 wine svmLinear 6
0.977035490605428 0.96078431372549 random 5 breast-cancer-wisconsin svmLinear 14
0.488974113135187 0.505668934240363 random 5 yeast svmLinear 4
0.738562091503268 0.770491803278688 random 5 glass svmLinear 14
0.849372384937239 0.907216494845361 random 5 ecoli svmLinear 12
0.950937950937951 0.882154882154882 random 5 vowel-context svmLinear 54
0.961904761904762 0.955555555555556 random 5 iris svmLinear 5
0.778810408921933 0.752173913043478 random 5 pima-indians-diabetes svmLinear 22
0.712328767123288 0.725806451612903 random 5 sonar.all svmLinear 4
0.933828076685219 0.923520923520924 random 5 image-segmentation svmLinear 33
0.866396761133603 0.875 random 5 ionosphere svmLinear 6
0.708121827411167 0.569343065693431 random 5 spectrometer svmLinear 44
0.728956228956229 0.706349206349206 random 5 statlog-vehicle svmLinear 23
0.897409852717115 0.893579072532699 random 5 optdigits svmLinear 10
0.992063492063492 0.980769230769231 random 6 wine svmLinear 10
0.97286012526096 0.975490196078431 random 6 breast-cancer-wisconsin svmLinear 10
0.537871524448706 0.537414965986395 random 6 yeast svmLinear 6
0.705882352941177 0.688524590163934 random 6 glass svmLinear 15
0.891213389121339 0.865979381443299 random 6 ecoli svmLinear 16
0.94949494949495 0.892255892255892 random 6 vowel-context svmLinear 50
0.980952380952381 0.933333333333333 random 6 iris svmLinear 7
0.793680297397769 0.734782608695652 random 6 pima-indians-diabetes svmLinear 15
0.664383561643836 0.661290322580645 random 6 sonar.all svmLinear 4
0.946196660482375 0.926406926406926 random 6 image-segmentation svmLinear 31
0.931174089068826 0.923076923076923 random 6 ionosphere svmLinear 9
0.751269035532995 0.54014598540146 random 6 spectrometer svmLinear 46
0.752525252525252 0.746031746031746 random 6 statlog-vehicle svmLinear 33
0.756729304215338 0.761593341260404 random 6 optdigits svmLinear 6
0.968253968253968 1 random 7 wine svmLinear 7
0.974947807933194 0.965686274509804 random 7 breast-cancer-wisconsin svmLinear 9
0.561840843720038 0.55328798185941 random 7 yeast svmLinear 6
0.738562091503268 0.672131147540984 random 7 glass svmLinear 15
0.903765690376569 0.804123711340206 random 7 ecoli svmLinear 12
0.946608946608947 0.888888888888889 random 7 vowel-context svmLinear 53
0.923809523809524 0.933333333333333 random 7 iris svmLinear 7
0.778810408921933 0.773913043478261 random 7 pima-indians-diabetes svmLinear 25
0.753424657534247 0.725806451612903 random 7 sonar.all svmLinear 4
0.930117501546073 0.910533910533911 random 7 image-segmentation svmLinear 36
0.935222672064777 0.961538461538462 random 7 ionosphere svmLinear 14
0.720812182741117 0.62043795620438 random 7 spectrometer svmLinear 48
0.737373737373737 0.698412698412698 random 7 statlog-vehicle svmLinear 34
0.794311833417979 0.784185493460166 random 7 optdigits svmLinear 8
0.984126984126984 1 random 8 wine svmLinear 10
0.968684759916493 0.965686274509804 random 8 breast-cancer-wisconsin svmLinear 10
0.544582933844679 0.546485260770975 random 8 yeast svmLinear 7
0.686274509803922 0.639344262295082 random 8 glass svmLinear 15
0.878661087866109 0.865979381443299 random 8 ecoli svmLinear 11
0.945165945165945 0.909090909090909 random 8 vowel-context svmLinear 48
0.952380952380952 0.911111111111111 random 8 iris svmLinear 5
0.778810408921933 0.795652173913043 random 8 pima-indians-diabetes svmLinear 25
0.623287671232877 0.67741935483871 random 8 sonar.all svmLinear 5
0.922077922077922 0.913419913419913 random 8 image-segmentation svmLinear 28
0.88663967611336 0.903846153846154 random 8 ionosphere svmLinear 6
0.736040609137056 0.664233576642336 random 8 spectrometer svmLinear 53
0.779461279461279 0.73015873015873 random 8 statlog-vehicle svmLinear 34
0.704926358557644 0.699762187871581 random 8 optdigits svmLinear 6
0.992063492063492 0.961538461538462 random 9 wine svmLinear 9
0.966597077244259 0.985294117647059 random 9 breast-cancer-wisconsin svmLinear 10
0.562799616490892 0.607709750566893 random 9 yeast svmLinear 6
0.69281045751634 0.655737704918033 random 9 glass svmLinear 13
0.878661087866109 0.855670103092783 random 9 ecoli svmLinear 7
0.948051948051948 0.895622895622896 random 9 vowel-context svmLinear 46
0.980952380952381 0.911111111111111 random 9 iris svmLinear 9
0.799256505576208 0.71304347826087 random 9 pima-indians-diabetes svmLinear 22
0.657534246575342 0.67741935483871 random 9 sonar.all svmLinear 4
0.938775510204082 0.926406926406926 random 9 image-segmentation svmLinear 28
0.846153846153846 0.807692307692308 random 9 ionosphere svmLinear 5
0.766497461928934 0.627737226277372 random 9 spectrometer svmLinear 50
0.771043771043771 0.678571428571429 random 9 statlog-vehicle svmLinear 30
0.712798374809548 0.69678953626635 random 9 optdigits svmLinear 6
1 0.923076923076923 random 10 wine svmLinear 9
0.977035490605428 0.955882352941177 random 10 breast-cancer-wisconsin svmLinear 11
0.541706615532119 0.510204081632653 random 10 yeast svmLinear 5
0.705882352941177 0.754098360655738 random 10 glass svmLinear 15
0.895397489539749 0.804123711340206 random 10 ecoli svmLinear 14
0.94949494949495 0.905723905723906 random 10 vowel-context svmLinear 53
0.904761904761905 0.933333333333333 random 10 iris svmLinear 6
0.782527881040892 0.756521739130435 random 10 pima-indians-diabetes svmLinear 24
0.753424657534247 0.709677419354839 random 10 sonar.all svmLinear 8
0.927025355596784 0.896103896103896 random 10 image-segmentation svmLinear 26
0.902834008097166 0.932692307692308 random 10 ionosphere svmLinear 9
0.715736040609137 0.635036496350365 random 10 spectrometer svmLinear 45
0.750841750841751 0.702380952380952 random 10 statlog-vehicle svmLinear 33
0.818181818181818 0.814506539833531 random 10 optdigits svmLinear 8
0.984126984126984 0.942307692307692 random 11 wine svmLinear 5
0.964509394572025 0.980392156862745 random 11 breast-cancer-wisconsin svmLinear 9
0.584851390220518 0.580498866213152 random 11 yeast svmLinear 6
0.725490196078431 0.754098360655738 random 11 glass svmLinear 19
0.803347280334728 0.804123711340206 random 11 ecoli svmLinear 7
0.953823953823954 0.912457912457912 random 11 vowel-context svmLinear 54
0.904761904761905 0.911111111111111 random 11 iris svmLinear 3
0.784386617100372 0.791304347826087 random 11 pima-indians-diabetes svmLinear 20
0.753424657534247 0.758064516129032 random 11 sonar.all svmLinear 6
0.928880643166357 0.923520923520924 random 11 image-segmentation svmLinear 29
0.862348178137652 0.875 random 11 ionosphere svmLinear 6
0.738578680203046 0.62043795620438 random 11 spectrometer svmLinear 43
0.759259259259259 0.69047619047619 random 11 statlog-vehicle svmLinear 33
0.788725241239208 0.801426872770511 random 11 optdigits svmLinear 7
0.976190476190476 0.961538461538462 random 12 wine svmLinear 7
0.97286012526096 0.965686274509804 random 12 breast-cancer-wisconsin svmLinear 14
0.50431447746884 0.494331065759637 random 12 yeast svmLinear 4
0.73202614379085 0.721311475409836 random 12 glass svmLinear 18
0.887029288702929 0.865979381443299 random 12 ecoli svmLinear 13
0.965367965367965 0.915824915824916 random 12 vowel-context svmLinear 51
0.914285714285714 0.888888888888889 random 12 iris svmLinear 6
0.786245353159851 0.730434782608696 random 12 pima-indians-diabetes svmLinear 24
0.719178082191781 0.645161290322581 random 12 sonar.all svmLinear 5
0.935683364254793 0.914862914862915 random 12 image-segmentation svmLinear 28
0.894736842105263 0.894230769230769 random 12 ionosphere svmLinear 6
0.733502538071066 0.686131386861314 random 12 spectrometer svmLinear 46
0.764309764309764 0.738095238095238 random 12 statlog-vehicle svmLinear 27
0.84002031488065 0.851367419738407 random 12 optdigits svmLinear 8
0.984126984126984 0.942307692307692 random 13 wine svmLinear 6
0.974947807933194 0.965686274509804 random 13 breast-cancer-wisconsin svmLinear 10
0.535953978906999 0.496598639455782 random 13 yeast svmLinear 4
0.77124183006536 0.688524590163934 random 13 glass svmLinear 20
0.899581589958159 0.855670103092783 random 13 ecoli svmLinear 10
0.958152958152958 0.919191919191919 random 13 vowel-context svmLinear 45
0.933333333333333 0.955555555555556 random 13 iris svmLinear 8
0.793680297397769 0.752173913043478 random 13 pima-indians-diabetes svmLinear 23
0.801369863013699 0.741935483870968 random 13 sonar.all svmLinear 10
0.92269635126778 0.930735930735931 random 13 image-segmentation svmLinear 25
0.88663967611336 0.913461538461538 random 13 ionosphere svmLinear 8
0.738578680203046 0.598540145985402 random 13 spectrometer svmLinear 52
0.752525252525252 0.694444444444444 random 13 statlog-vehicle svmLinear 27
0.828339258506856 0.846611177170036 random 13 optdigits svmLinear 8
0.976190476190476 0.980769230769231 random 14 wine svmLinear 7
0.977035490605428 0.955882352941177 random 14 breast-cancer-wisconsin svmLinear 11
0.565675934803452 0.537414965986395 random 14 yeast svmLinear 6
0.705882352941177 0.688524590163934 random 14 glass svmLinear 15
0.836820083682008 0.907216494845361 random 14 ecoli svmLinear 10
0.942279942279942 0.902356902356902 random 14 vowel-context svmLinear 44
0.942857142857143 0.844444444444444 random 14 iris svmLinear 6
0.778810408921933 0.743478260869565 random 14 pima-indians-diabetes svmLinear 21
0.76027397260274 0.790322580645161 random 14 sonar.all svmLinear 7
0.927643784786642 0.923520923520924 random 14 image-segmentation svmLinear 29
0.91497975708502 0.884615384615385 random 14 ionosphere svmLinear 8
0.751269035532995 0.598540145985402 random 14 spectrometer svmLinear 49
0.752525252525252 0.726190476190476 random 14 statlog-vehicle svmLinear 31
0.674707973590655 0.660523186682521 random 14 optdigits svmLinear 6
0.992063492063492 0.961538461538462 random 15 wine svmLinear 7
0.974947807933194 0.965686274509804 random 15 breast-cancer-wisconsin svmLinear 11
0.582933844678811 0.532879818594104 random 15 yeast svmLinear 7
0.751633986928105 0.672131147540984 random 15 glass svmLinear 17
0.861924686192469 0.865979381443299 random 15 ecoli svmLinear 11
0.953823953823954 0.922558922558923 random 15 vowel-context svmLinear 49
0.942857142857143 0.888888888888889 random 15 iris svmLinear 6
0.767657992565056 0.769565217391304 random 15 pima-indians-diabetes svmLinear 19
0.815068493150685 0.741935483870968 random 15 sonar.all svmLinear 11
0.931354359925789 0.936507936507937 random 15 image-segmentation svmLinear 34
0.785425101214575 0.711538461538462 random 15 ionosphere svmLinear 5
0.715736040609137 0.635036496350365 random 15 spectrometer svmLinear 51
0.782828282828283 0.698412698412698 random 15 statlog-vehicle svmLinear 34
0.740223463687151 0.740190249702735 random 15 optdigits svmLinear 7
0.976190476190476 0.865384615384615 random 16 wine svmLinear 9
0.970772442588727 0.96078431372549 random 16 breast-cancer-wisconsin svmLinear 8
0.593480345158197 0.587301587301587 random 16 yeast svmLinear 7
0.751633986928105 0.672131147540984 random 16 glass svmLinear 16
0.857740585774059 0.88659793814433 random 16 ecoli svmLinear 10
0.948051948051948 0.932659932659933 random 16 vowel-context svmLinear 50
